,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-122,90,1,0,0,1,3,0,3,0,1,0,0,0,5,0,0,
1,Ansu Fati,22.0,es  ESP,FW,17-359,80,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,100.0
2,Antoine Griezmann,7.0,fr  FRA,"FW,CM",29-217,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Philippe Coutinho,14.0,br  BRA,LM,28-134,90,0,0,0,2,5,0,0,1,2,0,0,0,8,0,0,
4,Pedri,16.0,es  ESP,RM,17-334,80,0,0,0,1,1,0,0,1,1,0,0,0,7,1,0,100.0
5,Francisco Trincão,17.0,pt  POR,"RM,WB",20-300,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
6,Frenkie de Jong,21.0,nl  NED,DM,23-165,90,0,0,0,0,1,0,0,0,0,0,0,0,11,2,1,66.7
7,Sergio Busquets,5.0,es  ESP,DM,32-100,81,0,0,0,2,3,0,0,0,2,0,0,0,10,0,1,0.0
8,Ousmane Dembélé,11.0,fr  FRA,"DM,CM",23-162,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
9,Jordi Alba,18.0,es  ESP,LB,31-217,86,1,0,0,1,1,0,2,1,0,0,0,0,8,0,0,
10,Martin Braithwaite,9.0,dk  DEN,"LB,FW",29-141,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
11,Clément Lenglet,15.0,fr  FRA,CB,25-129,90,1,0,0,3,1,0,0,1,1,0,1,0,9,1,1,50.0
12,Gerard Piqué,3.0,es  ESP,CB,33-265,90,0,0,0,0,0,0,0,0,3,0,0,0,9,4,3,57.1
13,Sergiño Dest,2.0,us  USA,RB,19-356,90,0,0,0,1,1,0,0,0,1,0,0,0,8,0,0,
14,Neto,13.0,br  BRA,GK,31-097,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15,15 Players,,,,,990,3,0,0,12,17,0,7,4,14,0,1,0,77,9,6,60.0
