,Player,,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,Key Events
0,"1
Marc-André ter Stegen
28, GK",,0,0,1,0,0,6.23,
1,"2
Clément Lenglet
25, DC (81′)",,1,1,5,0,0,6.63,
2,"3
Óscar Mingueza
21, DC",,5,0,3,0,0,6.67,
3,"4
Ronald Araujo
21, DC",,2,1,7,1,2,7.49,
4,"5
Sergiño Dest
20, DMR (45′)",,4,1,2,0,0,6.91,
5,"6
Junior Firpo
24, DML",,0,2,1,3,3,7.54,
6,"7
Miralem Pjanic
30, MC (65′)",,1,2,0,0,0,6.80,
7,"8
Frenkie de Jong
23, MC",,1,0,1,0,1,6.77,
8,"9
Antoine Griezmann
29, AMC (65′)",,0,0,0,0,0,6.10,
9,"10
Pedri
18, AMC (87′)",,2,0,0,0,0,7.13,
10,"11
Martin Braithwaite
29, FW",,0,0,1,0,0,5.72,
11,"12
Philippe Coutinho
28, Sub (65′)",,0,0,0,0,0,6.67,
12,"13
Ousmane Dembélé
23, Sub (45′)",,1,0,0,0,0,7.92,
13,"14
Trincão
21, Sub (65′)",,0,0,0,0,0,6.37,
14,"15
Riqui Puig
21, Sub (87′)",,0,0,0,0,0,6.01,
15,"16
Sergio Busquets
32, Sub (81′)",,0,0,0,0,0,5.92,
16,"17
Neto
31, Sub",,0,0,0,0,0,-,
17,"18
Samuel Umtiti
27, Sub",,0,0,0,0,0,-,
18,"19
Carles Aleñá
22, Sub",,0,0,0,0,0,-,
19,"20
Iñaki Peña
21, Sub",,0,0,0,0,0,-,
20,"21
Matheus Fernandes
22, Sub",,0,0,0,0,0,-,
